^Dadduser	3.137ubuntu1
libqt5qmlworkerscript5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quick5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quickcontrols2-5:amd64	5.15.13+dfsg-1
libqt5quickparticles5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quickshapes5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quicktemplates2-5:amd64	5.15.13+dfsg-1
libqt5quicktest5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5quickwidgets5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5sql5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5test5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5widgets5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5xml5t64:amd64	5.15.13+dfsg-1ubuntu1
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
librabbitmq4:amd64	0.11.0-1ubuntu0.1
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libraw23t64:amd64	0.21.2-2.1ubuntu0.24.04.2
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librist4:amd64	0.2.10+dfsg-2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
librttopo-dev:amd64	1.1.0-3build2
librttopo1:amd64	1.1.0-3build2
librubberband2:amd64	3.3.0+dfsg-2build1
libruby:amd64	1:3.2~ubuntu1
libruby3.2:amd64	3.2.3-1ubuntu0.24.04.8
libsamplerate0:amd64	0.2.2-4build1
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsdformat14:amd64	14.9.0-1~noble
libsdformat14-dev:amd64	14.9.0-1~noble
libsdl2-2.0-0:amd64	2.30.0+dfsg-1ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libselinux1-dev:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol-dev:amd64	3.5-2build1
libsepol2:amd64	3.5-2build1
libserd-0-0:amd64	0.32.2-1
libsframe1:amd64	2.42-4ubuntu2.10
libsharpyuv-dev:amd64	1.3.2-0.4build3
libsharpyuv0:amd64	1.3.2-0.4build3
libshine3:amd64	3.1.1-2build1
libslang2:amd64	2.3.3-3build2
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.5
libsnappy1v5:amd64	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsndio7.0:amd64	1.9.0-0.3build3
libsodium-dev:amd64	1.0.18-1ubuntu0.24.04.1
libsodium23:amd64	1.0.18-1ubuntu0.24.04.1
libsord-0-0:amd64	0.16.16-2build1
libsoxr0:amd64	0.1.3-4build3
libspatialite-dev:amd64	5.1.0-3build1
libspatialite8t64:amd64	5.1.0-3build1
libspeex1:amd64	1.2.1-2ubuntu2.24.04.1
libsphinxbase3t64:amd64	0.8+5prealpha+1-17build2
libsqlite3-0:amd64	3.45.1-1ubuntu2.7
libsqlite3-dev:amd64	3.45.1-1ubuntu2.7
libsratom-0-0:amd64	0.6.16-1build1
libsrt1.5-gnutls:amd64	1.5.3-1build2
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.4
libssh-gcrypt-4:amd64	0.10.6-2ubuntu0.4
libssl-dev:amd64	3.0.13-0ubuntu3.12
libssl3t64:amd64	3.0.13-0ubuntu3.12
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libsuperlu-dev:amd64	6.0.1+dfsg1-1build1
libsuperlu6:amd64	6.0.1+dfsg1-1build1
libsvtav1enc1d1:amd64	1.7.0+dfsg-2build1
libswresample-dev:amd64	7:6.1.1-3ubuntu5
libswresample4:amd64	7:6.1.1-3ubuntu5
libswscale-dev:amd64	7:6.1.1-3ubuntu5
libswscale7:amd64	7:6.1.1-3ubuntu5
libsystemd0:amd64	255.4-1ubuntu8.16
libsz2:amd64	1.1.2-1build1
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtheora0:amd64	1.1.1+dfsg.1-16.1build3
libtiff-dev:amd64	4.5.1+git230720-4ubuntu2.5
libtiff6:amd64	4.5.1+git230720-4ubuntu2.5
libtiffxx6:amd64	4.5.1+git230720-4ubuntu2.5
libtinfo6:amd64	6.4+20240113-1ubuntu2.1
libtinyxml2-10:amd64	10.0.0+dfsg-2
libtinyxml2-dev:amd64	10.0.0+dfsg-2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc-dev:amd64	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libtwolame0:amd64	0.4.0-2build3
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libudev1:amd64	255.4-1ubuntu8.16
libudfread0:amd64	1.1.2-1build1
libunibreak5:amd64	5.1-2build1
libunistring5:amd64	1.1-2build1.1
liburiparser-dev	0.9.7+dfsg-2build1
liburiparser1:amd64	0.9.7+dfsg-2build1
libusb-1.0-0:amd64	2:1.0.27-1
libuuid1:amd64	2.39.3-9ubuntu6.5
libuv1-dev:amd64	1.48.0-1.1build1
libuv1t64:amd64	1.48.0-1.1build1
libva-drm2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:amd64	2.20.0-2ubuntu0.2
libva2:amd64	2.20.0-2ubuntu0.2
libvdpau1:amd64	1.5-2build1
libvidstab1.1:amd64	1.1.0-2build1
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvorbisfile3:amd64	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9:amd64	1.14.0-1ubuntu2.3
libvulkan-dev:amd64	1.3.275.0-1build1
libvulkan1:amd64	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9:amd64	2.10.0-2
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwebp-dev:amd64	1.3.2-0.4build3
libwebp7:amd64	1.3.2-0.4build3
libwebpdecoder3:amd64	1.3.2-0.4build3
libwebpdemux2:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libwebsockets-dev:amd64	4.3.3-1.1build3
libwebsockets-evlib-ev:amd64	4.3.3-1.1build3
libwebsockets-evlib-glib:amd64	4.3.3-1.1build3
libwebsockets-evlib-uv:amd64	4.3.3-1.1build3
libwebsockets19t64:amd64	4.3.3-1.1build3
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev:amd64	2:1.8.7-1build1
libx11-xcb1:amd64	2:1.8.7-1build1
libx264-164:amd64	2:0.164.3108+git31e19f9-1
libx265-199:amd64	3.5-2build1
libx265-dev:amd64	3.5-2build1
libxau-dev:amd64	1:1.0.9-1build6
libxau6:amd64	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-icccm4:amd64	0.4.1-1.1build3
libxcb-image0:amd64	0.4.0-2build1
libxcb-keysyms1:amd64	0.4.0-1build4
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-render-util0:amd64	0.3.9-1build4
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-util1:amd64	0.4.0-1build3
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb-xinerama0:amd64	1.15-1ubuntu2
libxcb-xinput0:amd64	1.15-1ubuntu2
libxcb-xkb1:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcb1-dev:amd64	1.15-1ubuntu2
libxcursor1:amd64	1:1.2.1-1build1
libxdmcp-dev:amd64	1:1.1.3-0ubuntu6
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxerces-c-dev:amd64	3.2.4+debian-1.2ubuntu2
libxerces-c3.2t64:amd64	3.2.4+debian-1.2ubuntu2
libxext-dev:amd64	2:1.3.4-1build2
libxext6:amd64	2:1.3.4-1build2
libxfixes3:amd64	1:6.0.0-2build1
libxi6:amd64	2:1.8.1-1build1
libxkbcommon-x11-0:amd64	1.6.0-1build1
libxkbcommon0:amd64	1.6.0-1build1
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-dev:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxmu6:amd64	2:1.1.3-3build2
libxpm4:amd64	1:3.5.17-1ubuntu0.24.04.1
libxrandr2:amd64	2:1.5.2-2build1
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxss1:amd64	1:1.2.3-1build3
libxt6t64:amd64	1:1.2.1-1.2build1
libxv1:amd64	2:1.0.11-1.1build1
libxvidcore4:amd64	2:1.3.7-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libyaml-dev:amd64	0.2.5-1build1
libzimg2:amd64	3.0.5+ds1-1build1
libzip-dev:amd64	1.7.3-1.1ubuntu2
libzip4t64:amd64	1.7.3-1.1ubuntu2
libzix-0-0:amd64	0.4.2-2build1
libzmq3-dev:amd64	4.3.5-1build2
libzmq5:amd64	4.3.5-1build2
libzstd-dev:amd64	1.5.5+dfsg2-2build1.1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:amd64	0.2.42-2
libzzip-0-13t64:amd64	0.13.72+dfsg.1-1.2build1
linux-libc-dev:amd64	6.8.0-137.137
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
m4	1.4.19-4build1
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mount	2.39.3-9ubuntu6.5
mysql-common	5.8+1.1.0build1
ncurses-base	6.4+20240113-1ubuntu2.1
ncurses-bin	6.4+20240113-1ubuntu2.1
netbase	6.4
ocl-icd-libopencl1:amd64	2.3.2-1build1
openssl	3.0.13-0ubuntu3.12
passwd	1:4.13+dfsg1-4ubuntu3.2
perl	5.38.2-3.2ubuntu0.3
perl-base	5.38.2-3.2ubuntu0.3
perl-modules-5.38	5.38.2-3.2ubuntu0.3
pinentry-curses	1.2.1-3ubuntu5
pkgconf:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
procps	2:4.0.4-4ubuntu3.2
proj-data	9.4.0-1build2
protobuf-compiler	3.21.12-8.2ubuntu0.3
pybind11-dev	2.11.1-2
python3	3.12.3-0ubuntu2.1
python3-gz-math7	7.6.0-1~noble
python3-gz-msgs10	10.4.0-1~noble
python3-gz-sim8	8.15.0-1~noble
python3-gz-transport13	13.5.0-1~noble
python3-minimal	3.12.3-0ubuntu2.1
python3-packaging	24.0-1
python3-protobuf	3.21.12-8.2ubuntu0.3
python3-pybind11	2.11.1-2
python3-sdformat14	14.9.0-1~noble
python3.12	3.12.3-1ubuntu0.15
python3.12-minimal	3.12.3-1ubuntu0.15
qml-module-qt-labs-folderlistmodel:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qt-labs-platform:amd64	5.15.13+dfsg-1
qml-module-qt-labs-settings:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtcharts:amd64	5.15.13-1
qml-module-qtgraphicaleffects:amd64	5.15.13-1
qml-module-qtqml:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtqml-models2:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick-controls:amd64	5.15.13-1
qml-module-qtquick-controls2:amd64	5.15.13+dfsg-1
qml-module-qtquick-dialogs:amd64	5.15.13-1
qml-module-qtquick-layouts:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick-privatewidgets:amd64	5.15.13-1
qml-module-qtquick-templates2:amd64	5.15.13+dfsg-1
qml-module-qtquick-window2:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick2:amd64	5.15.13+dfsg-1ubuntu0.1
qt5-qmake:amd64	5.15.13+dfsg-1ubuntu1
qt5-qmake-bin	5.15.13+dfsg-1ubuntu1
qt5-qmltooling-plugins:amd64	5.15.13+dfsg-1ubuntu0.1
qtbase5-dev:amd64	5.15.13+dfsg-1ubuntu1
qtbase5-dev-tools	5.15.13+dfsg-1ubuntu1
qtchooser	66-2build2
qtdeclarative5-dev:amd64	5.15.13+dfsg-1ubuntu0.1
qtdeclarative5-dev-tools	5.15.13+dfsg-1ubuntu0.1
qtquickcontrols2-5-dev:amd64	5.15.13+dfsg-1
rake	13.0.6-3
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
ruby	1:3.2~ubuntu1
ruby-net-telnet	0.2.0-1
ruby-rubygems	3.4.20-1
ruby-sdbm:amd64	1.0.0-5build4
ruby-webrick	1.8.1-1ubuntu0.2
ruby-xmlrpc	0.3.2-2
ruby3.2	3.2.3-1ubuntu0.24.04.8
rubygems-integration	1.18
sdformat14-sdf	14.9.0-1~noble
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
shared-mime-info	2.4-4
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3ubuntu0.4
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
unixodbc-common	2.3.12-1ubuntu0.24.04.1
unixodbc-dev:amd64	2.3.12-1ubuntu0.24.04.1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.5
uuid-dev:amd64	2.39.3-9ubuntu6.5
x11-common	1:7.7+23ubuntu3
x11proto-dev	2023.2-1
xkb-data	2.41-2ubuntu1.1
xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
